option,rooms,area,floor,total_floors,house_type,condition,price
For sale,2,67,9,30,Masonry,All amenities,"€ 99,875"
For sale,4,170,5,6,Masonry,All amenities,"€ 270,000"
For sale,2,34.8,2,5,Masonry,All amenities,"€ 59,000"
For rent,1,35,5,5,Panel-Brick,All amenities,€ 300
For rent,2,60,4,5,Brick,All amenities,€ 220
For sale,2,40.3,5,5,Masonry,All amenities,"€ 79,000"
For sale,2,35,4,5,Masonry,All amenities,"€ 69,000"
For sale,2,52,4,4,Masonry,All amenities,"€ 55,000"
For sale,1,25,3,5,Masonry,All amenities,"€ 82,500"
For rent,3,75,4,5,Masonry,Partial amenities,€ 480
For rent,2,59,9,9,Panel,All amenities,€ 320
For sale,2,45,1,5,Panel,All amenities,"€ 49,500"
For rent,2,39,3,5,Panel,All amenities,€ 220
For rent,3,54,4,5,Brick,All amenities,€ 400
For sale,3,82,4,4,Masonry,All amenities,"€ 170,000"
For sale,2,48,2,4,Masonry,All amenities,"€ 130,000"
For rent,1,56,1,5,Masonry,All amenities,€ 50
For sale,3,67,5,5,Brick-Panel,All amenities,"€ 49,900"
For sale,4,140,2,7,Brick-Panel,All amenities,"€ 155,000"
For sale,4,140,2,7,Brick-Panel,All amenities,"€ 155,000"
For sale,3,59,3,5,Panel,All amenities,"€ 62,000"
For rent,1,30,3,5,Panel,All amenities,€ 300
For rent,2,55,2,5,Brick,All amenities,€ 520
For rent,2,62,4,7,Brick,All amenities,€ 650
For sale,1,32,4,5,Brick,All amenities,"€ 34,900"
For sale,3,55,5,5,Panel,All amenities,"€ 43,000"
For sale,4,94,4,5,Masonry,All amenities,"€ 115,000"
For sale,1,25,6,5,Brick,All amenities,"€ 23,000"
For sale,4,105,4,6,Masonry,All amenities,"€ 129,360"
For sale,4,287,5,6,Brick,All amenities,"€ 298,544"
For sale,2,60,2,2,Masonry,All amenities,"€ 45,000"
For sale,1,33,1,6,Masonry,All amenities,"€ 43,956"
